site_no,nwsli,cdec_id,cdec_station_name,usgs_station_name_xwalk,cdec_group,cdec_basin,county,nws_flood_stage_ft,crosswalk_source,crosswalk_note,cnrfc_channel,cnrfc_location,cnrfc_nickname,cnrfc_gage_class1,cnrfc_gage_class2
14150800,WCLO3,NA,NA,"Winberry Creek Near Lowell,or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14152000,JASO3,NA,NA,"Middle Fork Willamette River At Jasper, Or",NA,NA,NA,10,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14153500,COTO3,NA,NA,"Coast Fork Willamette R Blw Cottage Grove Dam, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14154500,DRRO3,NA,NA,"Row River Above Pitcher Creek, Near Dorena, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14157500,GOSO3,NA,NA,"Coast Fork Willamette River Near Goshen, Or",NA,NA,NA,13,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14158500,MOCO3,NA,NA,"Mckenzie River At Outlet Of Clear Lake, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14158850,TRBO3,NA,NA,"Mckenzie R Blw Trail Br Dam Nr Belknap Springs, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14159110,CMRO3,NA,NA,"Mckenzie River Above South Fork, Near Rainbow, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14159200,SFCO3,NA,NA,So Fk Mckenzie River Abv Cougar Lake Nr Rainbow Or,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14159500,CGRO3,NA,NA,"South Fork Mckenzie River Near Rainbow, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14161100,BRTO3,NA,NA,"Blue River Below Tidbits Creek, Nr Blue River, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14162500,VIDO3,NA,NA,"Mckenzie River Near Vida, Or",NA,NA,NA,11,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14163900,MCZO3,NA,NA,"Mckenzie River Near Walterville, Or",NA,NA,NA,14,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14164900,MRHO3,NA,NA,"Mckenzie River Abv Hayden Br, At Springfield,or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14165000,SPRO3,NA,NA,"Mohawk River Near Springfield, Or",NA,NA,NA,15,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
